state,season,model_type,n_weeks,beta_intercept,beta_covid,beta_flu,beta_rsv,flu_mean_contribution,flu_max_contribution,flu_sum_contribution,flu_peak_week,rsv_mean_contribution,rsv_max_contribution,rsv_sum_contribution,rsv_peak_week,covid_mean_contribution,covid_max_contribution,covid_sum_contribution,covid_peak_week,total_explained_variance,dominant_pathogen
Maryland,22-23,ridge_with_intercept,34,0.042763060722367685,0.11227667830013541,0.8441581441418772,0.20619146513035902,0.1761789432776585,0.8441581441418772,5.99008407144039,16,0.047147111430770536,0.20619146513035902,1.603001788646198,15,0.038610413562168176,0.11227667830013541,1.312754061113718,31,8.905839921200306,Flu
South Carolina,22-23,ridge_with_intercept,34,0.03602280498738128,0.18465787613295395,0.9332610636683133,0.017244266589409838,0.1794341805418925,0.9332610636683133,6.100762138424343,17,0.0038166900205318863,0.017244266589409838,0.12976746069808415,25,0.042595748528753294,0.18465787613295395,1.4482554499776115,8,7.678785049100038,Flu
Tennessee,22-23,ridge_with_intercept,34,0.01048900124699259,0.08061204171474647,1.0109976644599779,0.12608665837188196,0.1895433087906951,1.0109976644599779,6.444472498883633,2,0.027401185561209643,0.12608665837188196,0.9316403090811276,25,0.02763761263105648,0.08061204171474647,0.9396788294559203,4,8.31579163742068,Flu
Washington,22-23,ridge_with_intercept,34,0.011652081711261392,0.010572442705588377,0.9246157205377159,0.03178155748563529,0.1530418385996407,0.9246157205377159,5.203422512387784,1,0.008293940849317085,0.03178155748563529,0.2819939888767809,1,0.0059717026053395265,0.010572442705588377,0.20303788858154395,23,5.688454389846109,Flu
North Dakota,22-23,ridge_with_intercept,34,0.02372231152754692,0.0984111694305673,0.6709126235253471,0.10344792404743523,0.11278339522961123,0.6709126235253471,3.8346354378067833,21,0.02945776446805308,0.10344792404743523,1.0015639919138046,21,0.05239645006003804,0.0984111694305673,1.7814793020412931,19,6.617678731761881,Flu
Maine,22-23,ridge_with_intercept,34,0.02771462576040737,0.04049684101808423,0.9042915687812535,0.10093573027153288,0.14050664215173161,0.9042915687812535,4.777225833158877,18,0.021368597420876923,0.10093573027153288,0.7265323123098153,16,0.01647665590441662,0.04049684101808423,0.5602063007501652,6,6.063964446218857,Flu
Colorado,23-24,ridge_with_intercept,52,0.08559206584150184,0.08893419283691564,0.8380701901255981,1.9779485102438358e-4,0.18584306590036578,0.8380701901255981,9.663839426819017,9,4.276818207346885e-5,1.9779485102438358e-4,0.002223945467820381,9,0.03413449310130579,0.08893419283691564,1.7749936412679008,37,11.441057013554738,Flu
Connecticut,23-24,ridge_with_intercept,52,0.08883634187556516,0.09642024256534587,0.580294302547128,0.2874559040248879,0.14606766954587577,0.580294302547128,7.595518816385542,26,0.0537345196936515,0.2874559040248879,2.7941950240698783,6,0.024814756946808084,0.09642024256534587,1.2903673612340203,26,11.68008120168944,Flu
District of Columbia,23-24,ridge_with_intercept,52,0.32705080281668164,0.009752707136232228,0.47684753238734684,0.06390947771982142,0.0898257370887004,0.47684753238734684,4.670938328612422,34,0.014943186980924474,0.06390947771982142,0.7770457230080726,32,0.0036528348124576643,0.009752707136232228,0.18994741024779863,35,5.637931461868293,Flu
Florida,23-24,ridge_with_intercept,52,0.10556925232320269,0.05357766068693288,0.8696855062399191,0.03182998338078522,0.24131836919604238,0.8696855062399191,12.548555198194201,17,0.009434223439545236,0.03182998338078522,0.49057961885635215,34,0.015974061563718882,0.05357766068693288,0.8306512013133822,13,13.869786018363934,Flu
