state,season,model_type,n_weeks,beta_intercept,beta_covid,beta_flu,beta_rsv,flu_mean_contribution,flu_max_contribution,flu_sum_contribution,flu_peak_week,rsv_mean_contribution,rsv_max_contribution,rsv_sum_contribution,rsv_peak_week,covid_mean_contribution,covid_max_contribution,covid_sum_contribution,covid_peak_week,total_explained_variance,dominant_pathogen
New York,24-25,ridge_without_intercept,44,0,0.12214145887965171,0.6647130881356516,0.06913625833490579,0.14763116031733114,0.6647130881356516,6.495771053962571,12,0.015342034855217858,0.06913625833490579,0.6750495336295859,21,0.055541231576322556,0.12214145887965171,2.4438141893581924,16,9.61463477695035,Flu
Oregon,24-25,ridge_without_intercept,44,0,0.019089835820326067,0.9808297115535577,0.07305541632916701,0.20012831058338104,0.9808297115535577,8.805645665668763,29,0.017322553084492896,0.07305541632916701,0.7621923357176873,18,0.007088232550612524,0.019089835820326067,0.3118822322269511,21,9.879720233613401,Flu
Pennsylvania,24-25,ridge_without_intercept,44,0,0.10765714358317384,0.8366277787328439,0.2440064504288966,0.15719088055301883,0.8366277787328439,6.916398744332829,29,0.055199270667311416,0.2440064504288966,2.428767909361702,41,0.04530712077128868,0.10765714358317384,1.993513313936701,5,11.338679967631231,Flu
Vermont,24-25,ridge_without_intercept,18,0,0.501688466164434,0.42082324917235203,0.19620647140942846,0.14495023027047682,0.42082324917235203,2.6091041448685828,3,0.0445923798657792,0.19620647140942846,0.8026628375840256,7,0.24288092409547993,0.501688466164434,4.371856633718639,15,7.783623616171247,COVID
Alaska,24-25,ridge_without_intercept,44,0,0.37219953150515267,0.5440446660281351,0.6509178408794081,0.15852854616293885,0.5440446660281351,6.975256031169311,44,0.13480137953641097,0.6509178408794081,5.931260699602083,43,0.11744129099867813,0.37219953150515267,5.167416803941837,1,18.07393353471323,RSV
Delaware,24-25,ridge_without_intercept,44,0,0.07025805752646491,0.9132413297670284,0.18838803321203368,0.1597911017032278,0.9132413297670284,7.030808474942023,30,0.034921361270128404,0.18838803321203368,1.5365398958856495,19,0.027445469302717265,0.07025805752646491,1.20760064931956,27,9.774949020147233,Flu
Georgia,24-25,ridge_without_intercept,44,0,0.23257834205201627,0.8779856728343038,0.3940584833200088,0.16706822564477986,0.8779856728343038,7.351001928370313,41,0.09924571263579071,0.3940584833200088,4.366811355974791,38,0.05148958675384056,0.23257834205201627,2.2655418171689847,25,13.98335510151409,Flu
Ohio,24-25,ridge_without_intercept,44,0,0.06491916004379668,0.9046199617730802,0.15316806771468766,0.14580082730696423,0.9046199617730802,6.415236401506426,7,0.029040464927068133,0.15316806771468766,1.2777804567909978,40,0.02474286738831657,0.06491916004379668,1.0886861650859294,15,8.781703023383352,Flu
Utah,24-25,ridge_without_intercept,44,0,0.12352221571266984,0.8831227382276499,0.30322709522469776,0.16068541989120275,0.8831227382276499,7.070158475212921,29,0.06871255700613138,0.30322709522469776,3.023352508269781,42,0.044964751097254625,0.12352221571266984,1.9784490482792032,24,12.071960031761904,Flu
Arkansas,24-25,ridge_without_intercept,44,0,0.12349046260813842,0.781100521486756,0.43195242950028107,0.12348722782591083,0.781100521486756,5.433438024340077,12,0.07888741610191821,0.43195242950028107,3.4710463084844014,41,0.03783298718085695,0.12349046260813842,1.664651435957706,35,10.569135768782186,Flu
California,24-25,ridge_without_intercept,44,0,0.04382258641313278,0.2295661052848048,0.7276081351703064,0.052951339851995904,0.2295661052848048,2.3298589534878196,29,0.1865602164761253,0.7276081351703064,8.208649524949513,28,0.01198078508346869,0.04382258641313278,0.5271545436726225,34,11.065663022109955,RSV
Indiana,24-25,ridge_without_intercept,44,0,0.1485878497470174,0.8039475807974583,0.2084644088120839,0.1412797439132423,0.8039475807974583,6.216308732182658,42,0.04466548641886475,0.2084644088120839,1.965281402430049,39,0.05455055555241556,0.1485878497470174,2.400224444306284,34,10.58181457891899,Flu
Kansas,24-25,ridge_without_intercept,44,0,0.11500602561762582,0.5856164684788505,0.3716518679515662,0.10657389462522236,0.5856164684788505,4.6892513635097846,9,0.1027386425320656,0.3716518679515662,4.520500271410888,8,0.045301215291907906,0.11500602561762582,1.9932534728439477,7,11.20300510776462,Flu
Kentucky,24-25,ridge_without_intercept,44,0,0.22453732866569473,0.9134926400755462,0.10680937535025427,0.1408059859890318,0.9134926400755462,6.195463383517399,32,0.02154393650530697,0.10680937535025427,0.9479332062335066,8,0.07148177847786787,0.22453732866569473,3.145198253026187,28,10.288594842777092,Flu
Massachusetts,24-25,ridge_without_intercept,44,0,0.01734402965928823,0.9638721294066951,0.12361810274389237,0.16379949984672681,0.9638721294066951,7.207177993255979,43,0.025619985579497174,0.12361810274389237,1.1272793654978759,32,0.006993341112620528,0.01734402965928823,0.3077070089553032,2,8.642164367709158,Flu
Michigan,24-25,ridge_without_intercept,44,0,0.03000225932353598,0.9107640133331025,0.0831163928853114,0.167983465626949,0.9107640133331025,7.391272487585755,22,0.020735838474857354,0.0831163928853114,0.9123768928937234,33,0.01273323761238176,0.03000225932353598,0.5602624549447973,33,8.863911835424275,Flu
New Hampshire,24-25,ridge_without_intercept,44,0,0.05092143020167946,0.9218854639568315,2.0795743432647288e-5,0.19439903579823478,0.9218854639568315,8.553557575122332,14,3.845720017568506e-6,2.0795743432647288e-5,1.6921168077301427e-4,40,0.018210929453003965,0.05092143020167946,0.8012808959321744,26,9.35500768273528,Flu
New Mexico,24-25,ridge_without_intercept,44,0,0.09617160770089785,0.831844203405694,0.09507248020438239,0.19960920141963942,0.831844203405694,8.782804862464134,39,0.019458260550139356,0.09507248020438239,0.8561634642061317,21,0.04179093498275379,0.09617160770089785,1.838801139241167,33,11.477769465911432,Flu
North Carolina,24-25,ridge_without_intercept,44,0,0.07898728272665549,0.8995275714369241,0.21071768694954987,0.173879623372997,0.8995275714369241,7.650703428411866,9,0.04137452834881349,0.21071768694954987,1.8204792473477944,16,0.0231725948756798,0.07898728272665549,1.0195941745299115,2,10.490776850289572,Flu
Rhode Island,24-25,ridge_without_intercept,44,0,0.06516904821863914,0.9640768971532049,0.01238578117114291,0.17799478974508867,0.9640768971532049,7.831770748783901,6,0.0026091259456317664,0.01238578117114291,0.11480154160779774,5,0.023673012563931763,0.06516904821863914,1.0416125528129976,24,8.988184843204696,Flu
Louisiana,24-25,ridge_without_intercept,44,0,0.07535658893408873,0.8995451179768178,0.13009718995909184,0.18284607871807915,0.8995451179768178,8.045227463595483,8,0.029427696684542735,0.13009718995909184,1.2948186541198803,8,0.019508558556540736,0.07535658893408873,0.8583765764877923,37,10.198422694203156,Flu
Oklahoma,24-25,ridge_without_intercept,44,0,0.11554834036806488,0.9424649534035858,0.11709463545770905,0.11992562284241333,0.9424649534035858,5.276727405066185,30,0.026612417149479328,0.11709463545770905,1.1709463545770904,42,0.04439714525088356,0.11554834036806488,1.953474391038876,14,8.401148150682152,Flu
Texas,24-25,ridge_without_intercept,44,0,0.15931469837083895,0.863264921120804,0.23952903806152878,0.14300066186177435,0.863264921120804,6.292029121918072,34,0.06134939417791251,0.23952903806152878,2.699373343828151,9,0.04172043492831853,0.15931469837083895,1.8356991368460145,13,10.827101602592236,Flu
Virginia,24-25,ridge_without_intercept,44,0,0.10021863493004944,0.871964357917974,0.2773529246311984,0.15341316944657185,0.871964357917974,6.75017945564916,22,0.0615194970499708,0.2773529246311984,2.706857870198715,9,0.030903000914898986,0.10021863493004944,1.3597320402555553,25,10.81676936610343,Flu
West Virginia,24-25,ridge_without_intercept,44,0,0.3847366564355059,0.8798980189930594,0.1097602803325581,0.13957499238319995,0.8798980189930594,6.141299664860796,4,0.02347813483049371,0.1097602803325581,1.0330379325417234,29,0.10939360545016934,0.3847366564355059,4.81331863980745,20,11.987656237209968,Flu
Idaho,24-25,ridge_without_intercept,44,0,0.021301200675014287,1.0798676058182675,0.0573000400364882,0.21751815060617805,1.0798676058182675,9.570798626671836,18,0.012632940181204727,0.0573000400364882,0.5558493679730079,43,0.006697386458112122,0.021301200675014287,0.2946850041569334,15,10.421332998801779,Flu
Minnesota,24-25,ridge_without_intercept,44,0,0.10521136083364817,0.7989119972836803,0.12399298926366283,0.14980960370461166,0.7989119972836803,6.591622563002911,27,0.03506872423618747,0.12399298926366283,1.5430238663922489,7,0.04781156668425637,0.10521136083364817,2.10370893410728,6,10.23835536350244,Flu
Nebraska,24-25,ridge_without_intercept,44,0,0.13239636197814797,0.9591828768696663,0.06818776881641381,0.18639768256891012,0.9591828768696663,8.201498033032045,22,0.016462988979720462,0.06818776881641381,0.7243715151077001,22,0.05140071648144726,0.13239636197814797,2.261631525183679,12,11.187501073323425,Flu
South Dakota,24-25,ridge_without_intercept,44,0,0.20087059527869425,0.8215849707752839,0.21275667912471935,0.13641105451249247,0.8215849707752839,6.00208639854967,22,0.04066899182944108,0.21275667912471935,1.7894356404954077,24,0.07446928666546143,0.20087059527869425,3.2766486132803037,18,11.068170652325382,Flu
Wisconsin,24-25,ridge_without_intercept,44,0,0.11720283014411532,0.390531854376067,0.5433194156563544,0.06984295376484609,0.390531854376067,3.0730899656532276,10,0.1386109729540986,0.5433194156563544,6.0988828099803385,10,0.051588574772807004,0.11720283014411532,2.2698972900035086,16,11.441870065637076,RSV
Arizona,24-25,ridge_without_intercept,44,0,0.10012619718996217,0.8809441185636137,0.2580753590353768,0.1749636300607177,0.8809441185636137,7.698399722671578,42,0.05821358950968442,0.2580753590353768,2.561397938426114,43,0.05265979026778267,0.10012619718996217,2.3170307717824374,17,12.57682843288013,Flu
Mississippi,24-25,ridge_without_intercept,44,0,0.23717852972549414,0.9278113023929506,0.26173013238504067,0.17470847237614054,0.9278113023929506,7.687172784550185,40,0.05648755249526766,0.26173013238504067,2.485452309791777,26,0.059636278841029323,0.23717852972549414,2.62399626900529,21,12.796621363347253,Flu
Alabama,24-25,ridge_without_intercept,44,0,0.1321728503248787,0.7974349417955645,0.1688136475779927,0.1658864178162637,0.7974349417955645,7.299002383915602,40,0.046420824325315475,0.1688136475779927,2.0425162703138815,22,0.033883173607627236,0.1321728503248787,1.4908596387355983,19,10.832378292965082,Flu
Maryland,24-25,ridge_without_intercept,44,0,0.04914174221317719,0.9064399922787327,0.26932783948123856,0.1478528736576085,0.9064399922787327,6.505526440934774,19,0.055905930316560125,0.26932783948123856,2.459860933928646,34,0.018029275552237087,0.04914174221317719,0.793288124298432,28,9.758675499161852,Flu
South Carolina,24-25,ridge_without_intercept,44,0,0.0675613544429531,0.9543894961350794,0.13858086310043743,0.1403710563022599,0.9543894961350794,6.176326477299435,36,0.0285341193697305,0.13858086310043743,1.2555012522681421,11,0.016737933119100663,0.0675613544429531,0.7364690572404289,3,8.168296786808007,Flu
Tennessee,24-25,ridge_without_intercept,44,0,0.08100566610201321,0.8683904000925786,0.15884059778207985,0.17983404741004833,0.8683904000925786,7.912698086042124,21,0.038515110465341305,0.15884059778207985,1.6946648604750174,9,0.024727273076429756,0.08100566610201321,1.0880000153629097,27,10.695362961880052,Flu
Washington,24-25,ridge_without_intercept,44,0,0.025577250653457638,0.8076420295515374,0.2141860256453241,0.17884612360498214,0.8076420295515374,7.869229438619213,41,0.06107366682437167,0.2141860256453241,2.687241340272354,15,0.009566556088565973,0.025577250653457638,0.42092846789690286,9,10.97739924678847,Flu
North Dakota,24-25,ridge_without_intercept,44,0,0.29308344587277363,0.7432577261850782,0.1091247544045789,0.1294882901427415,0.7432577261850782,5.697484766280625,35,0.018611593488369882,0.1091247544045789,0.8189101134882748,12,0.12980044125547233,0.29308344587277363,5.711219415240783,40,12.227614295009683,Flu
Maine,24-25,ridge_without_intercept,44,0,0.09160302871919887,0.9165653863885304,0.024780819310068817,0.16281160400053854,0.9165653863885304,7.163710576023696,43,0.005357108936348752,0.024780819310068817,0.23571279319934502,42,0.03496748389953869,0.09160302871919887,1.538569291579702,30,8.937992660802744,Flu
