week_end,state,season,ili_rescaled,flu_times_coef,rsv_times_coef,covid_times_coef
2022-10-29,Arizona,22-23,0.130586478068575,0.021761895259903984,0.07037453872771006,0.09833554924918905
2022-11-05,Arizona,22-23,0.38055002167099,0.06678650614246395,0.10959969146118781,0.1795300394549415
2022-11-26,Arizona,22-23,0.9472976850243879,0.39846780631065576,0.15343956804566294,0.4709280431933641
2022-12-03,Arizona,22-23,1,0.4554989800952317,0.1326733107161747,0.44115673011792156
2023-03-11,Arizona,22-23,0.12576995122843973,0.016509023990271987,0.005768404813746726,0.06495559216460194
2023-03-18,Arizona,22-23,0.1596096021305412,0.010505742539263991,0.008075766739245418,0.07397720218746333
2023-04-01,Arizona,22-23,0.10648806675611537,0.007504101813759995,0.004614723850997381,0.05593398214174057
2023-04-08,Arizona,22-23,0.061874902379120834,0.01275697308339199,0.0023073619254986907,0.06405343116231581
2023-05-06,Arizona,22-23,0.1193171125090634,0.035269278524671974,0.0011536809627493453,0.032477796082300975
2022-10-01,Arkansas,22-23,0.10042716496601689,0.016106000680869592,0.05532174491068496,0.06036968019123864
2022-10-22,Arkansas,22-23,0.2460161756003085,0.16964987383849306,0.04727494565094895,0.06349224985630271
2022-10-29,Arkansas,22-23,0.41531983573337167,0.3468158813280586,0.061356844355486946,0.042675118755875596
2022-11-19,Arkansas,22-23,0.8380890554668867,0.6549773610220301,0.028163797409075972,0.04059340564583288
2022-12-03,Arkansas,22-23,0.8908494880117641,0.7140326968518852,0.02263162291800748,0.1415564914829044
2023-01-14,Arkansas,22-23,0.2027473414271112,0.07086640299582622,0.0065380243985354945,0.17902732746367322
2023-02-11,Arkansas,22-23,0.15555045460251424,0.037580668255362375,0.002514624768667498,0.07181910229647355
2023-02-18,Arkansas,22-23,0.16707494216595237,0.033285734740463833,0.004023399629867997,0.07285995885149492
2023-03-11,Arkansas,22-23,0.11780786543048259,0.02362213433194207,0.002514624768667498,0.042675118755875596
2023-04-22,Arkansas,22-23,0.06278787009307248,0.002147466757449281,5.029249537334995e-4,0.010408565550213557
2023-04-29,Arkansas,22-23,0.06406039847210515,0.002147466757449281,0,0.041634262200854234
2022-10-08,Arkansas,22-23,0.1438322902282876,0.05798160245113052,0.05532174491068496,0.05620625397115321
2022-10-15,Arkansas,22-23,0.232709861377616,0.09985720422139148,0.058339294633085945,0.06557396296634542
2022-11-05,Arkansas,22-23,0.65730681634775745,0.47566388677501525,0.045263245836014966,0.05932882363621728
2022-11-26,Arkansas,22-23,1,0.9749499078819727,0.028163797409075972,0.10616736861217829
2023-01-28,Arkansas,22-23,0.1909459677563976,0.059055335829855164,0.006035099444801995,0.11761679071741321
2023-03-04,Arkansas,22-23,0.16217707081756724,0.02469586771066671,0.002011699814933998,0.06973738918643085
2023-04-08,Arkansas,22-23,0.038480713017592316,0.009663600408521754,0.002011699814933998,0.039552549090811524
2023-05-20,Arkansas,22-23,0,0.012884800544695676,0.0010058499074669992,0.01977627454540576
2022-12-17,Arkansas,22-23,0.6364944497247279,0.3661430821451021,0.014081898704537986,0.1863133233488227
2022-12-24,Arkansas,22-23,0.535918799203773,0.28239187860458015,0.01156727393587049,0.23419272487980505
2023-01-07,Arkansas,22-23,0.3666596130050392,0.13958533923420313,0.01156727393587049,0.2518872863151681
2023-02-04,Arkansas,22-23,0.19312662518157203,0.053686668936231974,0.0050292495373349955,0.09888137272702881
2023-02-25,Arkansas,22-23,0.17582483008446462,0.03972813501281166,0.0035204746761344965,0.08014595473664439
2023-03-18,Arkansas,22-23,0.12355504546025142,0.025769601089391348,0.0015087748612004988,0.029143983540597967
2023-03-25,Arkansas,22-23,0.0853447626562416,0.02791706784684063,0.002514624768667498,0.04475683186591829
