week_end,state,season,covid,flu,rsv,ili,ili_rescaled,flu_rescaled,rsv_rescaled,covid_rescaled,beta_flu,beta_rsv,beta_covid,flu_times_coef,rsv_times_coef,covid_times_coef
2024-10-12,Maine,24-25,1.44,0.06,0.01,1.22961,0.2542970115830437,0.024509803921568624,0.023255813953488372,0.3717472118959108,0.041458688044413716,0.6929762728325263,0.27495630257378917,0.0010161443148140616,0.01611572727517503,0.10221423887501457
2024-12-07,Maine,24-25,1.13,0.13,0.1,1.60833,0.3971453713653764,0.05882352941176471,0.23255813953488375,0.25650557620817843,0.041458688044413716,0.6929762728325263,0.27495630257378917,0.0024387463555537482,0.16115727275175032,0.07052782482376005
2025-01-04,Maine,24-25,3.13,2.05,0.43,3.20662,1,1,1,1,0.041458688044413716,0.6929762728325263,0.27495630257378917,0.041458688044413716,0.6929762728325263,0.27495630257378917
2024-06-08,Maine,24-25,0.46,0.09,0.01,0.708224,0.057636853911224424,0.0392156862745098,0.023255813953488372,0.007434944237918222,0.041458688044413716,0.6929762728325263,0.27495630257378917,0.0016258309037024987,0.01611572727517503,0.002044284777500293
2024-07-20,Maine,24-25,1.43,0.04,0,0.687511,0.04982417415791999,0.014705882352941176,0,0.3680297397769517,0.041458688044413716,0.6929762728325263,0.27495630257378917,6.09686588888437e-4,0,0.10119209648626443
2024-08-17,Maine,24-25,2.31,0.01,0,0.789065,0.08812904934099727,0,0,0.6951672862453532,0.041458688044413716,0.6929762728325263,0.27495630257378917,0,0,0.19114062669627724
2024-10-26,Maine,24-25,1.21,0.06,0.03,1.56231,0.379787213578138,0.024509803921568624,0.06976744186046512,0.28624535315985133,0.041458688044413716,0.6929762728325263,0.27495630257378917,0.0010161443148140616,0.04834718182552509,0.07870496393376122
2024-11-02,Maine,24-25,1.06,0.04,0.01,1.70224,0.43256702711938694,0.014705882352941176,0.023255813953488372,0.23048327137546473,0.041458688044413716,0.6929762728325263,0.27495630257378917,6.09686588888437e-4,0.01611572727517503,0.06337282810250904
2024-11-23,Maine,24-25,0.87,0.06,0.02,1.60663,0.39650415302034586,0.024509803921568624,0.046511627906976744,0.15985130111524162,0.041458688044413716,0.6929762728325263,0.27495630257378917,0.0010161443148140616,0.03223145455035006,0.04395212271625626
2024-11-30,Maine,24-25,0.85,0.08,0.06,1.37313,0.3084309273940924,0.03431372549019608,0.13953488372093023,0.1524163568773234,0.041458688044413716,0.6929762728325263,0.27495630257378917,0.0014226020407396864,0.09669436365105018,0.041907837938755965
2024-12-28,Maine,24-25,2.74,1.46,0.3,2.65513,0.7919849969994756,0.7107843137254901,0.6976744186046512,0.8550185873605949,0.041458688044413716,0.6929762728325263,0.27495630257378917,0.029468185129607784,0.48347181825525093,0.23509274941253352
2024-06-08,New Mexico,24-25,1.21,0.35,0.01,2.62486,0.10040259611058022,0.04070556309362279,0.014705882352941176,0.07906976744186044,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.029482542678821905,0.002599993354204996,0.007584639984990676
2024-07-06,New Mexico,24-25,1.68,0.1,0.01,2.05004,0.04793823513036686,0.0067842605156037995,0.014705882352941176,0.2976744186046511,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.004913757113136985,0.002599993354204996,0.028553938767023727
2024-08-03,New Mexico,24-25,2.8,0.13,0,1.60559,0.007372866427719357,0.01085481682496608,0,0.8186046511627907,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.007862011381019177,0,0.07852333160931527
2024-09-07,New Mexico,24-25,2.12,0.12,0,2.37013,0.07715314989700076,0.009497964721845317,0,0.5023255813953489,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.006879259958391778,0,0.048184771669352554
2024-09-14,New Mexico,24-25,1.78,0.11,0,2.20294,0.061893561656713565,0.008141112618724558,0,0.34418604651162793,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.005896508535764382,0,0.033015491699371194
2024-09-21,New Mexico,24-25,1.42,0.11,0,2.01366,0.04461779838067099,0.008141112618724558,0,0.1767441860465116,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.005896508535764382,0,0.01695390114292034
2024-10-12,New Mexico,24-25,1.36,0.14,0.01,1.9882,0.042294040281516086,0.01221166892808684,0.014705882352941176,0.1488372093023256,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.008844762803646574,0.002599993354204996,0.014276969383511869
2024-10-19,New Mexico,24-25,1.29,0.19,0.01,2.29443,0.07024393983784807,0.018995929443690638,0.014705882352941176,0.11627906976744186,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.013758519916783557,0.002599993354204996,0.011153882330868645
2024-11-02,New Mexico,24-25,1.27,0.21,0.01,2.41192,0.08096736242503233,0.021709633649932152,0.014705882352941176,0.10697674418604651,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.015724022762038346,0.002599993354204996,0.010261571744399154
2024-11-16,New Mexico,24-25,1.75,0.55,0.04,3.05572,0.13972759275637323,0.06784260515603799,0.058823529411764705,0.3302325581395349,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.049137571131369844,0.010399973416819985,0.03167702581966695
2024-12-21,New Mexico,24-25,2.42,4.28,0.33,7.90032,0.581898782354407,0.5739484396200815,0.4852941176470588,0.641860465116279,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.41570385177138897,0.08579978068876487,0.06156943046639492
2025-01-11,New Mexico,24-25,1.7,5.63,0.58,8.55204,0.641381878520206,0.757123473541384,0.8529411764705881,0.3069767441860465,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.5483752938260875,0.15079961454388974,0.02944624935349322
2024-06-15,New Mexico,24-25,1.4,0.18,0.01,2.42501,0.08216209901253971,0.017639077340569877,0.014705882352941176,0.16744186046511622,0.7242877984763916,0.17679954808593973,0.09592338804547035,0.01277576849415616,0.002599993354204996,0.016061590556450844
