geography,rsv_season,Before ACIP range,During ACIP range,After ACIP range,total_all_months,total_ed_visits_2023,pop2020,visits_before_ACIP,visits_during_ACIP,visits_after_ACIP,visits_total,rate_before_ACIP_per_100k,rate_during_ACIP_per_100k,rate_after_ACIP_per_100k,rate_total_per_100k,pct_ed_visits_before_ACIP,pct_ed_visits_during_ACIP,pct_ed_visits_after_ACIP,pct_ed_visits_total
Colorado,2023-24,0.3600000000000001,12.610000000000003,0.4,13.370000000000003,2362107.516,5775324,850.3587057600001,29786.175776760003,944.8430063999999,31581.377488920003,14.724000000000004,515.749,16.36,546.8330000000001,0.036000000000000004,1.2610000000000001,0.04,1.3370000000000002
Colorado,2024-25,0.5100000000000001,11.26,0.8400000000000001,12.61,2362107.516,5775324,1204.6748331600002,26597.330630159995,1984.17031344,29786.175776759996,20.859,460.53399999999993,34.355999999999995,515.7489999999999,0.05100000000000002,1.126,0.084,1.261
Connecticut,2023-24,0.18000000000000002,8.799999999999999,0.060000000000000005,9.04,1735304.181,3607701,312.35475258,15270.6767928,104.11825086000002,15687.14979624,8.658,423.28000000000003,2.8860000000000006,434.82400000000007,0.018000000000000002,0.88,0.006000000000000001,0.9039999999999999
Connecticut,2024-25,0.3000000000000001,8.59,0.2,9.09,1735304.181,3607701,520.5912543000002,14906.26291479,347.06083620000004,15773.91500529,14.430000000000003,413.179,9.620000000000001,437.229,0.03000000000000001,0.859,0.02,0.9089999999999999
Delaware,2023-24,0.9900000000000003,21.17,0.28,22.440000000000005,433600.29,989955,429.26428710000016,9179.3181393,121.4080812,9729.990507600001,43.362000000000016,927.246,12.264000000000001,982.8720000000001,0.09900000000000005,2.117,0.028000000000000004,2.2440000000000007
Delaware,2024-25,0.8500000000000003,20.399999999999995,0.49,21.739999999999995,433600.29,989955,368.5602465000001,8845.445915999997,212.4641421,9426.470304599996,37.23000000000001,893.5199999999998,21.462,952.2119999999995,0.08500000000000003,2.0399999999999996,0.049,2.173999999999999
District of Columbia,2023-24,1.9000000000000004,17.87,0.17,19.940000000000005,344772.5,689545,655.0677500000002,6161.084575,58.61132500000001,6874.763650000002,95.00000000000003,893.5,8.5,997.0000000000003,0.19000000000000003,1.7870000000000001,0.017,1.9940000000000007
District of Columbia,2024-25,0.5,14.309999999999997,0.16,14.969999999999997,344772.5,689545,172.38625,4933.694474999998,55.163599999999995,5161.244325,25,715.4999999999998,7.999999999999999,748.5,0.05,1.4309999999999994,0.016,1.4969999999999999
Florida,2023-24,3.3700000000000006,10.31,0.21000000000000002,13.890000000000002,9799877.36,21538192,33025.5867032,101036.73558159999,2057.9742456,136120.2965304,153.335,469.10499999999996,9.555,631.995,0.3370000000000001,1.031,0.021,1.389
Florida,2024-25,2.030000000000001,11.19,0.41999999999999993,13.64,9799877.36,21538192,19893.75104080001,109660.62765839999,4115.948491199999,133670.3271904,92.36500000000004,509.1449999999999,19.109999999999996,620.62,0.2030000000000001,1.1189999999999998,0.04199999999999999,1.3640000000000003
