week_end,state,season,ili_rescaled,flu_rescaled,rsv_rescaled,covid_rescaled,rsv_lag1,rsv_lag2,rsv_lag3,rsv_lag4,rsv_lag5,cov_lag1,cov_lag2,cov_lag3,cov_lag4,cov_lag5,cov_lead1,cov_lead2,cov_lead3,cov_lead4,cov_lead5
2023-04-15,Texas,22-23,0.0358176284107088,0,0.00934579439252335,0.14325068870523416,0.01869158878504673,0.03738317757009345,0.04672897196261682,0.11214953271028036,0.8598130841121494,0.14325068870523416,0.25068870523415976,0.3057851239669422,0.5096418732782368,0.3278236914600551,0.09641873278236916,0.266304347826087,0.29347826086956524,0.5923913043478262,0.09057971014492756
2023-04-22,Texas,22-23,0.05292764167357024,0.00241254523522316,0.00934579439252335,0.09641873278236916,0.00934579439252335,0.01869158878504673,0.03738317757009345,0.04672897196261682,0.11214953271028036,0.14325068870523416,0.14325068870523416,0.25068870523415976,0.3057851239669422,0.5096418732782368,0.266304347826087,0.29347826086956524,0.5923913043478262,0.09057971014492756,0.03079710144927537
2022-11-19,Maryland,22-23,0.766439803188567,0.7122207621550591,0.6460176991150441,0.3640449438202247,0,0.04347826086956521,0.04347826086956521,0.10144927536231886,0.10144927536231886,0.01869158878504671,0.0794392523364486,0.29205607476635514,0.572429906542056,0.5630841121495327,0.197752808988764,0.1146067415730337,0.03820224719101123,0.01348314606741572,0.42696629213483145
2023-03-04,Maryland,22-23,0.09180258544642188,0.01314060446780551,0.01769911504424778,0.197752808988764,0.6460176991150441,0,0.04347826086956521,0.04347826086956521,0.10144927536231886,0.3640449438202247,0.01869158878504671,0.0794392523364486,0.29205607476635514,0.572429906542056,0.1146067415730337,0.03820224719101123,0.01348314606741572,0.42696629213483145,0.5797752808988764
2023-03-18,Maryland,22-23,0.11926190513328444,0.01182654402102496,0.01327433628318583,0.1146067415730337,0.01769911504424778,0.6460176991150441,0,0.04347826086956521,0.04347826086956521,0.197752808988764,0.3640449438202247,0.01869158878504671,0.0794392523364486,0.29205607476635514,0.03820224719101123,0.01348314606741572,0.42696629213483145,0.5797752808988764,0.6606741573033708
2023-04-15,Maryland,22-23,0.0311802966729578,0.0052562417871222,0.00442477876106194,0.03820224719101123,0.01327433628318583,0.01769911504424778,0.6460176991150441,0,0.04347826086956521,0.1146067415730337,0.197752808988764,0.3640449438202247,0.01869158878504671,0.0794392523364486,0.01348314606741572,0.42696629213483145,0.5797752808988764,0.6606741573033708,0.8674157303370786
2023-04-22,Maryland,22-23,0.00637089492356137,0.00919842312746386,0,0.01348314606741572,0.00442477876106194,0.01327433628318583,0.01769911504424778,0.6460176991150441,0,0.03820224719101123,0.1146067415730337,0.197752808988764,0.3640449438202247,0.01869158878504671,0.42696629213483145,0.5797752808988764,0.6606741573033708,0.8674157303370786,0.15280898876404492
2022-10-01,Maryland,22-23,0.1414768483134286,0.02233902759526938,0.411504424778761,0.42696629213483145,0,0.00442477876106194,0.01327433628318583,0.01769911504424778,0.6460176991150441,0.01348314606741572,0.03820224719101123,0.1146067415730337,0.197752808988764,0.3640449438202247,0.5797752808988764,0.6606741573033708,0.8674157303370786,0.15280898876404492,0.09887640449438202
2022-12-03,Maryland,22-23,0.8631401440903711,0.8252299605781866,0.3672566371681415,0.5797752808988764,0.411504424778761,0,0.00442477876106194,0.01327433628318583,0.01769911504424778,0.42696629213483145,0.01348314606741572,0.03820224719101123,0.1146067415730337,0.197752808988764,0.6606741573033708,0.8674157303370786,0.15280898876404492,0.09887640449438202,0.01797752808988763
2022-12-10,Maryland,22-23,0.6408555300789083,0.5795006570302234,0.2743362831858407,0.6606741573033708,0.3672566371681415,0.411504424778761,0,0.00442477876106194,0.01327433628318583,0.5797752808988764,0.42696629213483145,0.01348314606741572,0.03820224719101123,0.1146067415730337,0.8674157303370786,0.15280898876404492,0.09887640449438202,0.01797752808988763,0.01348314606741572
