week_end,state,covid,flu,rsv,season,year,epiweek,ili,ili_rescaled,flu_rescaled,rsv_rescaled,covid_rescaled
2024-02-17,Michigan,1.94,4.44,0.34,23-24,2024,7,5.44105,0.8991132023446325,0.8513513513513514,0.25,0.375
2024-03-02,Michigan,1.52,5.13,0.25,23-24,2024,9,6.00817,1,0.9845559845559846,0.1838235294117647,0.2828947368421053
2024-03-16,Michigan,0.88,3.68,0.15,23-24,2024,11,4.66074,0.7603013510989353,0.7046332046332048,0.1102941176470588,0.14254385964912283
2024-03-23,Michigan,0.73,3.07,0.15,23-24,2024,12,4.17969,0.674725822089,0.5868725868725869,0.1102941176470588,0.10964912280701755
2024-03-30,Michigan,0.67,3.06,0.12,23-24,2024,13,4.07127,0.6554386401842974,0.584942084942085,0.08823529411764705,0.09649122807017546
2024-05-11,Michigan,0.33,0.31,0.03,23-24,2024,19,1.26768,0.15669901358214663,0.054054054054054064,0.022058823529411763,0.02192982456140351
2024-05-18,Michigan,0.3,0.21,0.03,23-24,2024,20,1.07456,0.12234427673067859,0.03474903474903475,0.022058823529411763,0.015350877192982454
2023-07-01,Michigan,0.36,0.07,0.01,23-24,2023,26,0.553506,0.02965230771967589,0.007722007722007724,0.007352941176470588,0.02850877192982456
2023-07-15,Michigan,0.36,0.05,0.01,23-24,2023,28,0.434538,0.00848870822845046,0.003861003861003862,0.007352941176470588,0.02850877192982456
2023-07-29,Michigan,0.5,0.03,0.01,23-24,2023,30,0.413953,0.004826776486075412,0,0.007352941176470588,0.059210526315789484
2023-10-14,Michigan,1.35,0.12,0.06,23-24,2023,41,1.07855,0.12305407064139397,0.017374517374517374,0.044117647058823525,0.24561403508771934
2023-11-18,Michigan,2.32,0.35,0.45,23-24,2023,46,1.6043,0.21658142616987025,0.06177606177606177,0.33088235294117646,0.4583333333333333
2023-12-30,Michigan,4.79,3.53,1.36,23-24,2023,52,4.87923,0.7991692387060048,0.6756756756756757,1,1
2024-02-03,Michigan,1.87,3.08,0.42,23-24,2024,5,3.72574,0.5939711990891868,0.5888030888030888,0.30882352941176466,0.3596491228070176
2024-02-24,Michigan,1.81,5.21,0.3,23-24,2024,8,5.99828,0.9982406361461216,1,0.2205882352941176,0.34649122807017546
2024-04-06,Michigan,0.59,2.53,0.1,23-24,2024,14,3.46881,0.5482650964625935,0.48262548262548266,0.07352941176470588,0.07894736842105264
2024-05-04,Michigan,0.37,0.61,0.04,23-24,2024,18,1.54723,0.2064290606349009,0.11196911196911197,0.029411764705882353,0.03070175438596491
2023-08-05,Michigan,0.69,0.04,0.01,23-24,2023,31,0.3929,0.001081590721090135,0.001930501930501931,0.007352941176470588,0.10087719298245613
2023-08-26,Michigan,1.31,0.05,0,23-24,2023,34,0.466708,0.014211532816850048,0.003861003861003862,0,0.23684210526315794
2023-09-23,Michigan,2.09,0.08,0.03,23-24,2023,38,0.932966,0.09715566545402796,0.009652509652509654,0.022058823529411763,0.40789473684210525
2023-12-16,Michigan,3.71,1.55,1.17,23-24,2023,50,2.9260100000000002,0.4517046616915866,0.29343629343629346,0.8602941176470588,0.7631578947368421
2023-12-23,Michigan,4.03,2.3,1.19,23-24,2023,51,3.73751,0.5960650021791918,0.43822393822393824,0.8749999999999999,0.8333333333333335
2024-01-06,Michigan,4.01,2.54,1.24,23-24,2024,1,3.93264,0.6307773043841782,0.48455598455598464,0.9117647058823529,0.8289473684210527
2024-01-20,Michigan,2.3,2.24,0.63,23-24,2024,3,2.95236,0.4563921477936795,0.42664092664092673,0.463235294117647,0.45394736842105265
2023-06-10,Michigan,0.39,0.16,0.01,23-24,2023,23,0.796813,0.07293497113682657,0.0250965250965251,0.007352941176470588,0.03508771929824562
2023-06-24,Michigan,0.38,0.12,0,23-24,2023,25,0.634599,0.04407820185542619,0.017374517374517374,0,0.03289473684210526
2023-07-08,Michigan,0.34,0.06,0,23-24,2023,27,0.44202,0.009819705230949867,0.005791505791505791,0,0.024122807017543865
2023-08-19,Michigan,0.98,0.04,0.01,23-24,2023,33,0.38682,0,0.001930501930501931,0.007352941176470588,0.16447368421052633
2023-09-02,Michigan,1.52,0.07,0.01,23-24,2023,35,0.600045,0.03793127985270443,0.007722007722007724,0.007352941176470588,0.2828947368421053
