week_end,state,season,covid,flu,rsv,ili,ili_rescaled,flu_rescaled,rsv_rescaled,covid_rescaled,beta_flu,beta_rsv,beta_covid,flu_times_coef,rsv_times_coef,covid_times_coef
2022-12-10,Colorado,22-23,3.05,5.28,1.46,8.97819,0.9335035509231338,0.8948275862068966,0.5731225296442687,0.7852564102564101,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.6208839997874902,0.06408136829932722,0.25794213908865427
2023-02-18,Colorado,22-23,1.96,0.25,0.2,3.27538,0.1759188163058178,0.027586206896551727,0.07509881422924901,0.43589743589743585,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.01914093255606906,0.008396868949567015,0.14318420782064073
2023-03-18,Colorado,22-23,1.35,0.2,0.06,3.17343,0.16237535901121472,0.018965517241379314,0.01976284584980237,0.24038461538461542,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.013159391132297481,0.0022097023551492143,0.07896187931285337
2023-05-13,Colorado,22-23,0.71,0.2,0.02,2.30861,0.04748911342496032,0.018965517241379314,0.003952569169960474,0.03525641025641025,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.013159391132297481,4.4194047102984294e-4,0.011581075632551823
2023-05-20,Colorado,22-23,0.63,0.18,0.01,2.2249,0.03636873274687084,0.015517241379310345,0,0.009615384615384623,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.010766774562788847,0,0.0031584751725141367
2023-05-27,Colorado,22-23,0.6,0.13,0.01,1.95113,0,0.006896551724137933,0,0,0.6938588051575034,0.11181093917055027,0.32848141794146996,0.004785233139017266,0,0
2022-10-08,Connecticut,22-23,3.33,0.21,0.33,2.05072,0.12514959171505052,0.013819095477386932,0.375,0.5756972111553785,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.01142067541925699,0.037524341986504915,0.11805089454887847
2022-10-15,Connecticut,22-23,3.09,0.28,0.42,2.25469,0.15390080219217936,0.022613065326633167,0.47727272727272724,0.5278884462151394,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.01868837795878417,0.04775825343736989,0.10824736005346987
2022-11-12,Connecticut,22-23,2.31,2.75,0.84,4.34486,0.4485270590092623,0.3329145728643216,0.9545454545454545,0.3725099601593626,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.27513445328210023,0.09551650687473978,0.07638587294339196
2022-12-31,Connecticut,22-23,5.46,3.46,0.13,5.13445,0.5598261141675512,0.42211055276381904,0.14772727272727273,1,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.34884972189730445,0.0147823165401383,0.20505726319562972
2023-01-07,Connecticut,22-23,4.73,1.87,0.12,3.74509,0.3639846581274288,0.22236180904522612,0.13636363636363635,0.854581673306773,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.18376904992804433,0.013645215267819968,0.1752381791054286
2023-01-28,Connecticut,22-23,2.78,0.33,0.04,2.07025,0.1279025021460861,0.028894472361809042,0.045454545454545456,0.4661354581673307,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.023879594058446436,0.004548405089273323,0.09558446133023378
2023-02-25,Connecticut,22-23,1.6,0.21,0.04,1.98594,0.11601833018292124,0.013819095477386932,0.045454545454545456,0.23107569721115542,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.01142067541925699,0.004548405089273323,0.04738375006114154
2023-03-11,Connecticut,22-23,1.07,0.23,0.01,1.77337,0.0860548806014961,0.016331658291457284,0.011363636363636364,0.12549800796812752,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.013497161859121897,0.0011371012723183308,0.025734278050447562
2023-04-01,Connecticut,22-23,0.87,0.22,0.01,1.78641,0.08789297338289417,0.015075376884422108,0.011363636363636364,0.0856573705179283,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.012458918639189444,0.0011371012723183308,0.017564665970940398
2023-04-15,Connecticut,22-23,0.61,0.13,0.01,1.66394,0.07062984278950313,0.003768844221105527,0.011363636363636364,0.03386454183266932,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.003114729659797361,0.0011371012723183308,0.006944170267581086
2023-04-29,Connecticut,22-23,0.51,0.14,0.01,1.34196,0.025244174556792693,0.005025125628140704,0.011363636363636364,0.013944223107569724,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.0041529728797298155,0.0011371012723183308,0.002859364227827507
2023-05-27,Connecticut,22-23,0.58,0.12,0,1.16287,0,0.00251256281407035,0,0.027888446215139435,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.0020764864398649064,0,0.00571872845565501
2022-11-26,Connecticut,22-23,2.52,6.98,0.52,7.03994,0.8284202410100489,0.864321608040201,0.5909090909090909,0.4143426294820718,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.7143113353135282,0.0591292661605532,0.08496396562687449
2022-12-17,Connecticut,22-23,3.82,5.73,0.19,6.4247,0.741697219320836,0.707286432160804,0.2159090909090909,0.6733067729083666,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.5845309328219715,0.021604924174048287,0.13806644414367103
2023-02-04,Connecticut,22-23,2.39,0.29,0.06,2.01604,0.12026116704795811,0.023869346733668338,0.06818181818181818,0.3884462151394423,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.01972662117871662,0.006822607633909984,0.07965371777519482
2023-03-25,Connecticut,22-23,0.83,0.17,0.02,1.83548,0.094809784179152,0.008793969849246231,0.022727272727272728,0.07768924302788845,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.007267702539527177,0.0022742025446366616,0.015930743555038963
2023-04-08,Connecticut,22-23,0.78,0.24,0.01,1.64045,0.06731873853834973,0.01758793969849246,0.011363636363636364,0.06772908366533865,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.014535405079054351,0.0011371012723183308,0.013888340535162174
2022-10-29,Connecticut,22-23,2.69,1.34,0.74,3.46733,0.3248321542193673,0.1557788944723618,0.8409090909090909,0.4482071713147411,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.12874215927162427,0.08414549415155648,0.09190813589445557
2022-12-10,Connecticut,22-23,3.36,6.96,0.26,7.52155,0.8963070404309934,0.8618090452261306,0.29545454545454547,0.5816733067729084,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.7122348488736633,0.0295646330802766,0.11927633636080455
2023-01-14,Connecticut,22-23,3.77,0.71,0.09,2.681,0.21399262225642804,0.07663316582914571,0.10227272727272727,0.6633466135458168,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.06333283641587967,0.010233911450864977,0.13602404112379424
2023-02-11,Connecticut,22-23,2.2,0.23,0.06,1.87773,0.10076526117409583,0.016331658291457284,0.06818181818181818,0.35059760956175307,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.013497161859121897,0.006822607633909984,0.07189258629966302
2023-02-18,Connecticut,22-23,1.8,0.25,0.03,2.01489,0.12009906530726734,0.018844221105527637,0.03409090909090909,0.2709163346613546,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.015573648298986806,0.003411303816954992,0.055553362140648696
2023-03-04,Connecticut,22-23,1.29,0.18,0.03,1.81277,0.09160862719559759,0.010050251256281404,0.03409090909090909,0.16932270916334666,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.008305945759459627,0.003411303816954992,0.034720851337905444
2023-03-18,Connecticut,22-23,0.91,0.18,0.03,1.85977,0.09823365485861202,0.010050251256281404,0.03409090909090909,0.09362549800796814,0.8264416030662333,0.10006491196401311,0.20505726319562972,0.008305945759459627,0.003411303816954992,0.01919858838684183
