week_end,state,covid,flu,rsv,season,year,epiweek,ili,ili_rescaled,flu_rescaled,rsv_rescaled,covid_rescaled,beta_intercept,beta_covid,beta_flu,beta_rsv,flu_times_coef,rsv_times_coef,covid_times_coef
2024-03-30,Arkansas,0.58,1.45,0.08,23-24,2024,13,2.33521,0.31002803263922485,0.19345661450924606,0.03043478260869565,0.1144578313253012,0,0.23574533648874219,0.7917704420497053,0.24648096904606465,0.15317322918742518,0.007501594710097619,0.026982899959554826
2024-04-13,Arkansas,0.43,0.96,0.05,23-24,2024,15,1.98081,0.24992296069715095,0.12375533428165007,0.017391304347826084,0.06927710843373494,0,0.23574533648874219,0.7917704420497053,0.24648096904606465,0.09798581573019112,0.00428662554862721,0.01633175523867792
2024-04-20,Arkansas,0.4,0.7,0.03,23-24,2024,16,1.75275,0.21124473635429156,0.08677098150782361,0.008695652173913042,0.06024096385542169,0,0.23574533648874219,0.7917704420497053,0.24648096904606465,0.0687026983855363,0.002143312774313605,0.014201526294502543
2024-04-27,Arkansas,0.27,0.52,0.05,23-24,2024,17,1.67037,0.1972733598684336,0.061166429587482224,0.017391304347826084,0.021084337349397592,0,0.23574533648874219,0.7917704420497053,0.24648096904606465,0.048429770993082974,0.00428662554862721,0.00497053420307589
2023-06-17,California,0.67,0.11,0.01,23-24,2023,24,2.68056,0.14847630599355888,0.007407407407407408,0,0.14173228346456695,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.004132113781270082,0,0.016244629813941775
2023-09-09,California,2.58,0.1,0.03,23-24,2023,36,2.48965,0.11653686896147895,0.004938271604938272,0.02150537634408602,0.8937007874015748,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.0027547425208467218,0.01000388887413214,0.10243141577124394
2023-09-30,California,1.43,0.12,0.06,23-24,2023,39,2.48396,0.11558492617842654,0.009876543209876541,0.053763440860215055,0.4409448818897637,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.005509485041693442,0.025009722185330353,0.05053884831004106
2023-10-07,California,1.28,0.15,0.07,23-24,2023,40,2.8034,0.16902756284244422,0.01728395061728395,0.06451612903225808,0.38188976377952755,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.009641598822963525,0.03001166662239643,0.043770252554231996
2023-10-14,California,1.16,0.15,0.12,23-24,2023,41,2.68133,0.14860512777615123,0.01728395061728395,0.11827956989247312,0.33464566929133854,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.009641598822963525,0.05502138880772678,0.038355375949584734
2023-12-02,California,1.64,1.53,0.65,23-24,2023,48,5.54673,0.6279894600359697,0.35802469135802467,0.6881720430107527,0.5236220472440944,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.1997188327613873,0.32012444397222856,0.06001488236817376
2024-02-17,California,1.14,0.99,0.25,23-24,2024,7,4.27979,0.4160291103768456,0.22469135802469137,0.25806451612903225,0.326771653543307,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.12534078469852583,0.12004666648958569,0.037452896515476855
2024-05-11,California,0.4,0.31,0.01,23-24,2024,19,3.27604,0.2481007152118449,0.056790123456790124,0,0.03543307086614174,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.0316795389897373,0,0.004061157453485444
2024-05-18,California,0.47,0.34,0.01,23-24,2024,20,3.31514,0.25464218495127355,0.06419753086419754,0,0.06299212598425195,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.03581165277100738,0,0.007219835472863007
2024-05-25,California,0.51,0.31,0.01,23-24,2024,21,3.2727,0.24754192981722362,0.056790123456790124,0,0.07874015748031496,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.0316795389897373,0,0.009024794341078762
2023-07-01,California,0.7,0.1,0.01,23-24,2023,26,2.3684,0.09625162072859589,0.004938271604938272,0,0.15354330708661415,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.0027547425208467218,0,0.017598348965103584
2023-07-15,California,0.81,0.1,0.01,23-24,2023,28,1.9623,0.02831067798736876,0.004938271604938272,0,0.19685039370078738,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.0027547425208467218,0,0.022561985852696902
2023-08-05,California,1.53,0.09,0.01,23-24,2023,31,1.80349,0.0017416035802417548,0.002469135802469135,0,0.48031496062992124,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.0013773712604233602,0,0.05505124548058044
2023-10-21,California,1.18,0.19,0.14,23-24,2023,42,3.2034,0.23594796938391394,0.027160493827160494,0.13978494623655915,0.34251968503937,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.015151083864656969,0.06502527768185892,0.03925785538369261
2023-10-28,California,1.08,0.21,0.2,23-24,2023,43,3.35172,0.26076205612949094,0.03209876543209877,0.20430107526881722,0.3031496062992126,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.01790582638550369,0.09503694430425534,0.03474545821315323
2023-11-18,California,1.38,0.89,0.48,23-24,2023,46,4.63309,0.4751365594545987,0.2,0.5053763440860215,0.42125984251968496,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.11156707209429223,0.23509138854210532,0.048282649724771365
2023-12-23,California,2.52,4.13,0.88,23-24,2023,51,7.31954,0.924582374837927,1,0.935483870967742,0.8700787401574803,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.5578353604714611,0.43516916602474814,0.09972397746892032
2023-12-30,California,2.85,3.97,0.94,23-24,2023,52,7.77033,1,0.9604938271604939,1,1,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.5357974203046874,0.46518083264714455,0.11461488813170027
2024-01-20,California,1.99,2.05,0.51,23-24,2024,3,5.05494,0.5457124932033962,0.4864197530864197,0.5376344086021506,0.6614173228346456,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.27134213830340204,0.2500972218533036,0.0758082724650616
2024-02-24,California,0.91,0.9,0.21,23-24,2024,8,4.46261,0.4466150821866242,0.20246913580246917,0.21505376344086022,0.2362204724409449,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.1129444433547156,0.10003888874132141,0.02707438302323629
2024-03-23,California,0.43,0.63,0.09,23-24,2024,12,3.90304,0.3529984524655987,0.1358024691358025,0.08602150537634409,0.047244094488188976,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.07575541932328485,0.04001555549652857,0.005414876604647257
2024-03-30,California,0.4,0.54,0.07,23-24,2024,13,3.75537,0.3282931113806516,0.11358024691358026,0.06451612903225808,0.03543307086614174,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.0633590779794746,0.03001166662239643,0.004061157453485444
2023-07-08,California,0.78,0.11,0.01,23-24,2023,27,2.3328,0.09029570454640515,0.007407407407407408,0,0.18503937007874016,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.004132113781270082,0,0.02120826670153509
2023-07-22,California,0.96,0.08,0.01,23-24,2023,29,1.84611,0.008871972897235335,0,0,0.25590551181102356,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0,0,0.02933058160850597
2023-07-29,California,1.25,0.08,0.01,23-24,2023,30,1.79308,0,0,0,0.37007874015748027,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0,0,0.042416533403070174
2023-08-26,California,2.42,0.11,0.02,23-24,2023,34,2.07233,0.04671880881676356,0.007407407407407408,0.010752688172043012,0.8307086614173228,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.004132113781270082,0.005001944437066071,0.09521158029838094
2023-09-16,California,2.06,0.11,0.03,23-24,2023,37,2.38665,0.09930486427705046,0.007407407407407408,0.02150537634408602,0.6889763779527559,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.004132113781270082,0.01000388887413214,0.07896695048443916
2023-09-23,California,1.73,0.12,0.05,23-24,2023,38,2.44069,0.10834581120080304,0.009876543209876541,0.043010752688172046,0.5590551181102362,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.005509485041693442,0.020007777748264285,0.06407603982165921
2023-11-04,California,1.06,0.32,0.26,23-24,2023,44,3.86125,0.3460069429921787,0.05925925925925926,0.2688172043010753,0.2952755905511811,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.03305691025016066,0.1250486109266518,0.03384297877904535
2023-12-16,California,2.05,2.81,0.8,23-24,2023,50,6.33422,0.7597373374043247,0.674074074074074,0.849462365591398,0.68503937007874,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.37602235409557744,0.3951536105282196,0.07851571076738521
2024-01-27,California,1.63,1.54,0.46,23-24,2024,4,4.36541,0.4303534233970471,0.36049382716049383,0.48387096774193555,0.5196850393700787,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.20109620402181067,0.2250874996679732,0.059563642651119825
2024-02-10,California,1.23,1.06,0.32,23-24,2024,6,4.0475,0.3771667572880506,0.24197530864197533,0.33333333333333337,0.3622047244094488,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.13498238352148936,0.1550602775490482,0.0415140539689623
2024-03-02,California,0.73,0.76,0.17,23-24,2024,9,4.11688,0.38877410180266847,0.16790123456790126,0.17204301075268819,0.1653543307086614,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.09366124570878855,0.08003111099305714,0.0189520681162654
2024-03-09,California,0.55,0.65,0.14,23-24,2024,10,3.97257,0.36463089213266975,0.14074074074074075,0.13978494623655915,0.09448818897637797,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.07851016184413157,0.06502527768185892,0.010829753209294515
2024-04-06,California,0.36,0.46,0.06,23-24,2024,14,3.76951,0.3306587477518925,0.09382716049382717,0.053763440860215055,0.019685039370078736,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.05234010789608771,0.025009722185330353,0.00225619858526969
2024-05-04,California,0.35,0.31,0.01,23-24,2024,18,3.2853,0.2496499226232799,0.056790123456790124,0,0.015748031496062985,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.0316795389897373,0,0.0018049588682157514
2023-06-03,California,0.69,0.11,0.01,23-24,2023,22,3.0799,0.21528629386423517,0.007407407407407408,0,0.1496062992125984,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.004132113781270082,0,0.017147109248049644
2023-06-10,California,0.68,0.11,0.02,23-24,2023,23,2.84894,0.17664645112719055,0.007407407407407408,0.010752688172043012,0.1456692913385827,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.004132113781270082,0.005001944437066071,0.01669586953099571
2023-06-24,California,0.61,0.09,0.01,23-24,2023,25,2.50331,0.11882220084487011,0.002469135802469135,0,0.11811023622047244,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.0013773712604233602,0,0.013537191511618142
2023-08-12,California,1.81,0.09,0.01,23-24,2023,32,1.88335,0.015102262746246193,0.002469135802469135,0,0.5905511811023622,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.0013773712604233602,0,0.0676859575580907
2023-08-19,California,2.33,0.11,0.01,23-24,2023,33,1.91037,0.019622736208122445,0.007407407407407408,0,0.7952755905511811,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.004132113781270082,0,0.0911504228448955
2023-09-02,California,2.52,0.1,0.02,23-24,2023,35,2.30863,0.0862520389811368,0.004938271604938272,0.010752688172043012,0.8700787401574803,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.0027547425208467218,0.005001944437066071,0.09972397746892032
2023-11-11,California,1.25,0.56,0.36,23-24,2023,45,4.23124,0.4079066460328746,0.11851851851851854,0.3763440860215054,0.37007874015748027,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.06611382050032133,0.17506805529731245,0.042416533403070174
2023-11-25,California,1.61,1.23,0.65,23-24,2023,47,5.2259,0.5743142749592204,0.2839506172839506,0.6881720430107527,0.5118110236220472,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.15839769494868647,0.32012444397222856,0.058661163217011945
2023-12-09,California,1.81,2.09,0.7,23-24,2023,49,5.79754,0.6699502279476347,0.4962962962962963,0.7419354838709677,0.5905511811023622,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.2768516233450955,0.3451341661575589,0.0676859575580907
2024-01-06,California,2.65,2.86,0.87,23-24,2024,1,6.93704,0.8605897360826466,0.6864197530864198,0.924731182795699,0.921259842519685,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.3829092103976943,0.4301672215876821,0.10559009379062151
2024-01-13,California,2.15,2.05,0.59,23-24,2024,2,5.47579,0.61612112593584,0.4864197530864197,0.6236559139784946,0.7244094488188976,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.27134213830340204,0.2901127773498321,0.0830281079379246
2024-02-03,California,1.51,1.31,0.37,23-24,2024,5,4.24409,0.4100564640930193,0.3037037037037037,0.3870967741935484,0.47244094488188976,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.16941666503207337,0.18006999973437854,0.05414876604647257
2024-03-16,California,0.5,0.65,0.1,23-24,2024,11,3.9524,0.3612564306328161,0.14074074074074075,0.09677419354838711,0.07480314960629922,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.07851016184413157,0.04501749993359464,0.008573554624024824
2024-04-13,California,0.31,0.48,0.05,23-24,2024,15,3.61006,0.30398260069429917,0.09876543209876543,0.043010752688172046,0,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.055094850416934425,0.020007777748264285,0
2024-04-20,California,0.32,0.45,0.03,23-24,2024,16,3.268,0.2467556150403613,0.09135802469135802,0.02150537634408602,0.0039370078740157514,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.05096273663566435,0.01000388887413214,4.5123971705393845e-4
2024-04-27,California,0.34,0.39,0.03,23-24,2024,17,3.39008,0.2671797231168179,0.07654320987654321,0.02150537634408602,0.011811023622047254,0,0.11461488813170027,0.5578353604714611,0.46518083264714455,0.04269850907312418,0.01000388887413214,0.0013537191511618155
2023-08-12,Indiana,1.05,0.07,0.02,23-24,2023,32,0.757052,0.042598983955673124,0.007476635514018694,0.016666666666666666,0.2233250620347395,0,0.4857565556319131,0.6765571318679238,0.010114872337897141,0.005058371079386347,1.6858120563161902e-4,0.10848161292027839
2023-09-02,Indiana,1.87,0.06,0.04,23-24,2023,35,1.31679,0.1797453665703089,0.005607476635514019,0.03333333333333333,0.4267990074441689,0,0.4857565556319131,0.6765571318679238,0.010114872337897141,0.0037937783095397595,3.3716241126323805e-4,0.2073204158031987
2023-09-16,Indiana,1.55,0.09,0.06,23-24,2023,37,1.25663,0.16500503023778101,0.011214953271028038,0.05,0.34739454094292815,0,0.4857565556319131,0.6765571318679238,0.010114872337897141,0.007587556619079519,5.05743616894857e-4,0.1687491756537664
2023-10-14,Indiana,1.19,0.18,0.2,23-24,2023,41,1.742,0.28392984815199407,0.028037383177570093,0.16666666666666669,0.2580645161290323,0,0.4857565556319131,0.6765571318679238,0.010114872337897141,0.018968891547698798,0.0016858120563161905,0.125356530485655
2023-10-28,Indiana,1.37,0.21,0.29,23-24,2023,43,1.83511,0.3067435568607984,0.03364485981308411,0.24166666666666667,0.30272952853598023,0,0.4857565556319131,0.6765571318679238,0.010114872337897141,0.022762669857238557,0.002444427481658476,0.14705285306971072
2023-11-18,Indiana,2.32,0.56,0.64,23-24,2023,46,2.50013,0.469686018095135,0.09906542056074767,0.5333333333333333,0.5384615384615385,0,0.4857565556319131,0.6765571318679238,0.010114872337897141,0.06702341680186909,0.005394598580211809,0.2615612222633379
2023-12-02,Indiana,3.51,1.34,1.01,23-24,2023,48,3.06384,0.6078056157349171,0.24485981308411217,0.8416666666666667,0.8337468982630274,0,0.4857565556319131,0.6765571318679238,0.010114872337897141,0.16566165284990284,0.00851335088439676,0.40499802156903925
2023-12-16,Indiana,3.57,2.53,1.08,23-24,2023,50,3.67562,0.7577032713451881,0.4672897196261683,0.9000000000000001,0.84863523573201,0,0.4857565556319131,0.6765571318679238,0.010114872337897141,0.31614819246164666,0.009103385104107428,0.41223012909705786
2024-01-06,Indiana,3.52,4.26,1.05,23-24,2024,1,3.99009,0.834754361213706,0.7906542056074766,0.8750000000000001,0.8362282878411912,0,0.4857565556319131,0.6765571318679238,0.010114872337897141,0.534922741645106,0.008850513295659999,0.40620337282370905
2024-02-10,Indiana,1.64,4.85,0.29,23-24,2024,6,3.94803,0.8244488667631389,0.9009345794392523,0.24166666666666667,0.36972704714640203,0,0.4857565556319131,0.6765571318679238,0.010114872337897141,0.6095337150660546,0.002444427481658476,0.1795973369457942
2024-04-06,Indiana,0.54,1.79,0.12,23-24,2024,14,2.08067,0.36691039512236007,0.32897196261682243,0.1,0.09677419354838712,0,0.4857565556319131,0.6765571318679238,0.010114872337897141,0.22256832749299924,0.001011487233789714,0.04700869893212064
2024-05-04,Indiana,0.24,0.36,0.03,23-24,2024,18,1.5542,0.23791530089054566,0.0616822429906542,0.025,0.022332506203473948,0,0.4857565556319131,0.6765571318679238,0.010114872337897141,0.041731561404937355,2.528718084474285e-4,0.010848161292027838
2024-05-11,Indiana,0.18,0.22,0.03,23-24,2024,19,1.37808,0.1947625742468487,0.03551401869158879,0.025,0.007444168734491316,0,0.4857565556319131,0.6765571318679238,0.010114872337897141,0.024027262627085145,2.528718084474285e-4,0.003616053764009279
2023-06-03,Indiana,0.41,0.13,0.02,23-24,2023,22,1.03841,0.11153700838797664,0.01869158878504673,0.016666666666666666,0.06451612903225808,0,0.4857565556319131,0.6765571318679238,0.010114872337897141,0.012645927698465866,1.6858120563161902e-4,0.03133913262141375
2023-06-17,Indiana,0.3,0.1,0.02,23-24,2023,24,0.752371,0.041452050538576014,0.013084112149532713,0.016666666666666666,0.03722084367245658,0,0.4857565556319131,0.6765571318679238,0.010114872337897141,0.008852149388926107,1.6858120563161902e-4,0.018080268820046395
2023-07-22,Indiana,0.41,0.03,0.01,23-24,2023,29,0.623812,0.009952667251118387,0,0.008333333333333333,0.06451612903225808,0,0.4857565556319131,0.6765571318679238,0.010114872337897141,0,8.429060281580951e-5,0.03133913262141375
2023-07-29,Indiana,0.65,0.06,0.02,23-24,2023,30,0.583192,0,0.005607476635514019,0.016666666666666666,0.1240694789081886,0,0.4857565556319131,0.6765571318679238,0.010114872337897141,0.0037937783095397595,1.6858120563161902e-4,0.06026756273348799
2023-09-09,Indiana,1.82,0.11,0.04,23-24,2023,36,1.39903,0.19989571996105182,0.014953271028037384,0.03333333333333333,0.41439205955334996,0,0.4857565556319131,0.6765571318679238,0.010114872337897141,0.010116742158772693,3.3716241126323805e-4,0.2012936595298499
2023-09-23,Indiana,1.53,0.09,0.06,23-24,2023,38,1.55123,0.23718759479168253,0.011214953271028038,0.05,0.34243176178660056,0,0.4857565556319131,0.6765571318679238,0.010114872337897141,0.007587556619079519,5.05743616894857e-4,0.16633847314442685
2023-11-25,Indiana,2.92,0.95,0.94,23-24,2023,47,2.64555,0.5053166648616942,0.17196261682242991,0.7833333333333333,0.6873449131513649,0,0.4857565556319131,0.6765571318679238,0.010114872337897141,0.11634253482588597,0.007923316664686094,0.3338822975435235
